abstract,authors,n_citation,references,title,venue,year,id
"In 1999, Iwan Duursma defined the zeta function for a linear code as a generating function of its Hamming weight enumerator. It can also be defined for other homogeneous polynomials not corresponding to existing codes. If the homogeneous polynomial is invariant under the MacWilliams transform, then its zeta function satisfies a functional equation and we can formulate an analogue of the Riemann hypothesis. As far as existing codes are concerned, the Riemann hypothesis is believed to be closely related to the extremal property. In this article, we show there are abundant polynomials invariant by the MacWilliams transform which satisfy the Riemann hypothesis. The proof is carried out by explicit construction of such polynomials. To prove the Riemann hypothesis for a certain class of invariant polynomials, we establish an analogue of the Enestrom-Kakeya theorem.",['Koji Chinen'],0,"['02d38c7d-3baf-40e3-86d7-a8884ff503f4', '078e6ac3-f385-42e2-a966-5ca05b98588a', 'b06b90e7-36f4-418a-82b2-656645469cf6', 'b86d2872-8125-4909-957a-d1e0f9cacb90']",An abundance of invariant polynomials satisfying the Riemann hypothesis,Discrete Mathematics,2008,4ab459ce-5f18-4cc0-9627-1dc557eb8b68
"Entity Resolution (ER) is the problem of identifying which records in a database refer to the same real-world entity. An exhaustive ER process involves computing the similarities between pairs of records, which can be very expensive for large datasets. Various blocking techniques can be used to enhance the performance of ER by dividing the records into blocks in multiple ways and only comparing records within the same block. However, most blocking techniques process blocks separately and do not exploit the results of other blocks. In this paper, we propose an  iterative blocking framework  where the ER results of blocks are reflected to subsequently processed blocks. Blocks are now iteratively processed until no block contains any more matching records. Compared to simple blocking, iterative blocking may achieve higher accuracy because reflecting the ER results of blocks to other blocks may generate additional record matches. Iterative blocking may also be more efficient because processing a block now saves the processing time for other blocks. We implement a scalable iterative blocking system and demonstrate that iterative blocking can be more accurate and efficient than blocking for large datasets.","['Steven Euijong Whang', 'David Menestrina', 'Georgia Koutrika', 'Martin Theobald', 'Hector Garcia-Molina']",211,"['0b5e0bfa-12ff-4175-9d65-d8cc62552ae6', '2cba753f-24b1-4b6c-8d36-b9bf66bd1477', '33d18bee-c873-4cf5-8962-e79a032cbdf3', '3960350c-fc91-4fae-83f3-69899d9c8a6f', '5d57c4fa-8dda-4e92-b42b-67f8d16f8602', '717f3af1-aa86-41db-90e5-bfb94ecf8616', '71e35609-693a-4036-9bac-861a7ce7c868', '76c1da70-2949-47c3-aefa-9d703c884cd3', '78001688-d865-4fda-a2eb-d5097c93bbb9', '866e99e1-f1d4-4be9-be12-1f3fe444fc52', '8cf0f572-0507-48cf-9ada-37c152f5810f', '99ac2c24-4d9a-4a96-a9a7-4ada6393677e', '9ff322c1-64c8-49e5-9c23-4b380eff5f10', 'b123d7d1-cced-41cc-a8fc-c710a8f8a736', 'b22383b0-6528-4156-9069-472d895438c3', 'b55b3100-5054-4d25-860d-d3e32fc56d14', 'c9b221ed-7083-4ae7-835c-8e8bd5af22ec', 'fb565ef1-0650-4e55-b68a-1936d8ddb188']",Entity resolution with iterative blocking,international conference on management of data,2009,4ab46288-3a29-471f-95c9-9926df1f93ce
"Performance analysts profile their programs to find methods that are worth optimizing: the ""hot"" methods. This paper shows that four commonly-used Java profilers ( xprof , hprof , jprofile, and yourkit ) often disagree on the identity of the hot methods. If two profilers disagree, at least one must be incorrect. Thus, there is a good chance that a profiler will mislead a performance analyst into wasting time optimizing a cold method with little or no performance improvement.   This paper uses causality analysis to evaluate profilers and to gain insight into the source of their incorrectness. It shows that these profilers all violate a fundamental requirement for sampling based profilers: to be correct, a sampling-based profilermust collect samples randomly.   We show that a proof-of-concept profiler, which collects samples randomly, does not suffer from the above problems. Specifically, we show, using a number of case studies, that our profiler correctly identifies methods that are important to optimize; in some cases other profilers report that these methods are cold and thus not worth optimizing.","['Todd Mytkowicz', 'Amer Diwan', 'Matthias Hauswirth', 'Peter F. Sweeney']",95,"['0b279971-aa22-4622-aaf5-5cd6d4f70756', '16f8c89c-8c1a-42cf-b6d6-2f0e4da11cfe', '183292a9-9b90-4bdd-82c4-cd9c98062d18', '3039a487-91b5-4f34-877f-022722657c58', '398ae890-8f2a-466a-b11b-86036a5d2bdf', '4c574894-82ec-4700-9a37-baf19bfedadd', '56dd2783-44fe-40aa-9638-3bcfb239221d', '68893220-6f06-4f2f-90b1-072d481cbcc1', '6bcc6079-7981-47fe-b1dd-9aaf3656bf28', '70bbc8f5-86c6-4c24-8cf9-154e167fc299', '97c56b66-bc7f-46a0-a084-0368ac55a282', 'a3039605-5311-4cdf-b462-efa42ca26116', 'b2f15cc8-672a-4862-a1d7-b30314ff89de', 'c15db488-8900-4ec7-9b27-d092172d5360', 'c638ee07-dfad-4609-9ba5-647c939f55a4', 'eb468120-46b4-4523-a297-67f535d4f9af']",Evaluating the accuracy of Java profilers,programming language design and implementation,2010,4ab4c0a1-3c5a-44c6-bdd4-3a0618d303ca
"In motion-compensated video-coding schemes, such as MPEG, an I frame is normally followed by several P frames and possibly B frames in a group-of-picture (GOP). In error-prone environments, errors happening in the previous frames in a GOP may propagate to all the following frames until the next I frame, which is the beginning of the next GOP. In this paper, we propose a novel GOP structure for robust transmission of MPEG video bitstream. By selecting the optimal position of the I frame in a GOP, robustness can be achieved without reducing any coding efficiency. Experimental results demonstrate the robustness of the proposed GOP structure.","['Tao Fang', 'Lap-Pui Chau']",1,"['15430dbb-9ce8-4e7a-a112-678cdf1f1c28', '750b4963-83ac-4759-b816-4aa6a4f0b4ea', 'c05b713d-7c58-4ecf-ac74-3a917ccb2352']",Robust group-of-picture architecture for video transmission over error-prone channels,international symposium on circuits and systems,2005,4ab4c17b-a9ac-4f37-8e71-5977d5db5a07
"Most of us have taken the exact rational and approximate numbers in our computer algebra systems for granted for a long time, not thinking to ask if they could be significantly better. With exact rational arithmetic and adjustable-precision floating-point arithmetic to precision limited only by the total computer memory or our patience, what more could we want for such numbers? It turns out that there is much more that can be done that permits us to obtain exact results more often, more intelligible results, approximate results guaranteed to have requested error bounds, and recovery of exact results from approximate ones.",['David R. Stoutemyer'],6,"['12a6a20f-d96b-4761-a704-2182aa7e61ef', '69319909-d747-49df-bbcb-266b4a1ccc19', '7a484ff1-feeb-4e17-be20-3ddb72f968f4', '826ec29f-e225-4e84-a64f-4d9c8f8f3c0b', '9847a01c-b2e6-4a50-8c51-9515048eb2e5', 'a957f7ca-f301-42e2-bff7-ecb98c484875', 'ca7cb307-25d2-43a9-9e8d-cd2529f3b1c1', 'dde461c7-3f28-4ae9-99e0-0aca4c089785']",Useful computations need useful numbers,ACM Communications in Computer Algebra,2007,4ab4e2a8-18c5-47a0-a295-a63dc68a49ab
"This paper addresses the problem of retargeting, namely adapting large source images for effective viewing at a smaller size with possible applications to PDAs, or dynamic page layouts. Instead of extracting regions of interest for retargeting, the uninteresting parts are removed from the scene in Shai Avidan and Shamir, A. (2007). This is done by computing the RGB variance within non-overlapping 3times3 blocks and removing the block path with minimal variance cost using dynamic programming. It is shown that transformation to CIELAB space is more effective for visual interpretation of image content. The implementations are shown to be much faster than the seam carving approach of Shai Avidan and Shamir, A. (2007). Schemes are also presented for speeding up the seam carving scheme itself.","['Awadhesh Srivastava', 'Kanad K. Biswas']",50,"['517f023f-4d1f-4f6d-96a3-7638f86b34d8', '6a5e9cd0-60f9-4623-ac93-6bc92d505b6a', '87daf2ac-471c-4267-9ab7-cced94e06e1b', 'a3b3ecce-5921-47ec-a21b-80a8cb1939b8', 'bc0310e3-c11d-4f2d-9bc4-e8a3b10ca18c', 'd979fb54-f1ee-4240-bfea-e37f76819c3c', 'e7978e39-122b-48db-a98c-1cff042f42c9']",Fast Content Aware Image Retargeting,,2008,4ab503e2-d7b4-441e-8e0e-edf1b9bfb602
"Scalable storage architectures allow for the addition of disks to increase storage capacity and/or bandwidth. In its general form, disk scaling also refers to disk removals when either capacity needs to be conserved or old disk drives are retired. Assuming random placement of blocks on multiple nodes of a continuous media server, our optimization objective is to redistribute a minimum number of media blocks after disk scaling. This objective should be met under two restrictions. First, uniform distribution and hence a balanced load should be ensured after redistribution. Second, the redistributed blocks should be retrieved at the normal mode of operation in one disk access and through low complexity computation. We propose a technique that meets the objective, while we prove that it also satisfies both restrictions. The SCADDAR approach is based on using a series of REMAP functions which can derive the location of a new block using only its original location as a basis.","['Ashish Goel', 'Cyrus Shahabi', 'Shu-Yuen Didi Yao', 'Roger Zimmermann']",70,"['1d950f41-7ecc-4243-a2bc-e91242887637', '57868e44-9a01-488a-989f-fd18a57a790f', '60e1ce59-a6a3-49dc-9727-3c02d166188a', '72f144d2-8bfc-4eb1-ba37-8cf9ef190a52', '73c49f25-1710-42b9-bc25-e12c3d47f3de', '756dc97f-4124-4692-bf08-c227c4d6d58f', '9e0fc090-adfe-4482-a1a0-b7037922db10', 'a5385305-4572-443e-bcaa-1297e87aaabb', 'ad9ae838-b7be-4c54-9536-1ba11cf2ff92', 'befc800b-996e-4798-b300-303126ad8fd8', 'e3fc9188-4c99-404e-a22c-7ae7413f0238', 'fd8e4a2e-4e59-4c80-982f-d7ac6db3fe54']",SCADDAR: an efficient randomized technique to reorganize continuous media blocks,international conference on data engineering,2002,4ab50bd7-8e59-4974-a6d0-59a577dcc10d
"Rare event simulation for stochastic models of complex systems is still a great challenge even for Markovian models. We review results in importance sampling for Markov chains, provide new viewpoints and insights, and we pose some future research directions.",['Werner Sandmann'],10,"['1fbce743-ee10-495e-b67f-700928b3cfc0', '5481cf9f-d3ba-425e-9d74-82b2b7d1af52', 'b45c1b9e-bbb6-4d98-abb7-15cf21df5cac', 'ca3e835e-bbdd-4998-81a2-364ecbda14a2']",Importance sampling in Markovian settings,winter simulation conference,2005,4ab50fd5-e0e8-44aa-acf1-a7a131293e7c
"Freezing tolerance in plants is obtained during a period of low nonfreezing temperatures before the winter sets on, through a biological process known as cold acclimation. Cold is one of the major stress factors that limits the growth, productivity and distribution of plants, and understanding the mechanism of cold tolerance is therefore important for crop improvement. Expressed sequence tags (EST) analysis is a powerful, economical and time-efficient way of assembling information on the transcriptome. To date, several EST sets have been generated from cold-induced cDNA libraries from several different plant species. In this study we utilize the variation in the frequency of ESTs sampled from different cold-stressed plant libraries, in order to identify genes preferentially expressed in cold in comparison to a number of control sets. The species included in the comparative study are oat (Avena sativa), barley (Hordeum vulgare), wheat (Triticum aestivum), rice (Oryza sativa) and Arabidopsis thaliana. However, in order to get comparable gene expression estimates across multiple species and data sets, we choose to compare the expression of tentative ortholog groups (TOGs) instead of single genes, as in the normal procedure. We consider TOGs as preferentially expressed if they are detected as differentially expressed by a test statistic and up-regulated in comparison to all control sets, and/or uniquely expressed during cold stress, i.e., not present in any of the control sets. The result of this analysis revealed a diverse representation of genes in the different species. In addition, the derived TOGs mainly represent genes that are long-term highly or moderately expressed in response to cold and/or other stresses.","['Angelica Lindlöf', 'Marcus Bräutigam', 'Aakash Chawade', 'Björn Olsson', 'Olof Olsson']",0,"['9b8ad98f-1db8-4201-8246-cbc0812606d8', 'e5b94864-84e2-4833-9df5-6189c844654a']",Identification of cold-induced genes in cereal crops and arabidopsis through comparative analysis of multiple EST sets,bioinformatics research and development,2007,4ab54610-4947-46c7-bd56-fc672dfba5cc
"This position paper concerns itself with real-time safety critical distributed systems. It presents a computational model that is appropriate for this type of application and architecture. It then defines a resource allocations scheme based upon fixed priority scheduling. Such a scheme has the advantage (over purely static schedules) of supporting greater levels of flexibility and non-determinism, whilst still providing static guarantees of necessary timing behaviour (i.e. end-to-end deadlines through the systems). Priority based communication protocols are investigated, with possible future techniques reviewed.","['Alan Burns', 'Neil C. Audsley', 'Andy J. Wellings']",50,"['236bbbbd-56a9-41fa-a880-d33ab6c40c78', '2e07a585-5f68-449d-8df9-17195a2dc8cc', '409d59aa-c331-4b07-b727-b554163601a0', '5711cebd-8ff8-4e69-981c-69f7b322bf9f', '6536b436-fd22-4b16-a18a-b75776f74662', '6a6b9aa6-683f-4c7c-b06e-9c3018d10fd3', '7a5ac1d8-567b-4cbd-a8fe-a84c11f6028e', '80ef8d5d-a257-415f-9bc0-ddc6c983c9a0', '84568b81-5f5b-4ea0-a6f9-8d6c292bfea7', '9a0d9ce5-5d3c-498f-8151-0e8d28b9f95d', 'b8fecde6-b1e2-40ce-865c-8c6280f2f4ef', 'bd47ea56-6d12-44a5-9e42-8b259e8b25cb', 'c0968280-a735-40f7-9457-2be057c76c26', 'd7eb74d3-04a3-476b-8e3d-563f6729ca3b', 'd89afe5d-96c6-4839-be2f-8c80c4b00a1d', 'dd272406-41b7-435d-9688-97e297481583']",Real-time distributed computing,,1995,4ab5585e-6a6a-4c92-b37c-e4dbb67fe72e
"a b s t r a c t The constant pressure–temperature (P–T) flash plays an important role in the modelling of fluid-phase behaviour, and its solution is especially challenging for equations of state in which the volume is expressed as an implicit function of the pressure. We explore the relative merits of solving the P–T flash in two ensembles: mole numbers, pressure and temperature, in which each free-energy evaluation requires the use of a numerical solver; and mole numbers, volume and temperature, in which a direct evaluation of the free-energy is possible. We examine the performance of two algorithms, HELD (Helmholtz free energy Lagrangian dual), introduced in Pereira et al. (2012), and GILD (Gibbs free energy Lagrangian dual), introduced here, for the fluid-phase equilibria of 8 mixtures comprising up to 10 components, using two equations of state. While the reliability of both algorithms is comparable, the computational cost of HELD is consistently lower; this difference becomes increasingly pronounced as the number of components is increased. © 2014 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license","['Frances E. Pereira', 'Amparo Galindo', 'George Jackson', 'Claire S. Adjiman']",5,"['0983ec0b-f922-4c60-aac5-64f720fab210', '1aad0bde-f799-47d8-8768-b08479054da5', '3ec721be-4971-434a-8a18-de860c17b468', '41b18372-581c-4502-844a-495967a12511', '71ab8922-400d-40fc-904e-f1e239bb3649', '82b175a5-b213-47a2-b0af-1d69e685841c', '9038e412-fed4-446a-b3be-a76fefda37ff']",On the impact of using volume as an independent variable for the solution of P-T fluid-phase equilibrium with equations of state,Computers & Chemical Engineering,2014,4ab572c2-c224-4d2e-832b-8bd440ed4da1
"The OntoNL Framework provides an architecture and re-usable components for automating as much as possible the building of natural language interfaces to information systems. In addition to the syntactic analysis components, OntoNL has semantic analysis components which exploit domain ontologies to provide better disambiguation of the user input. We present in this paper the algorithms used for semantic processing of the natural language queries, as well as an ontology-driven semantic relatedness measure developed for this purpose. We also present extensive evaluation results with different ontologies using human subjects.","['Anastasia Karanastasi', 'Stavros Christodoulakis']",5,"['06a739f6-4696-4f33-9788-7ecfd2aabc27', '11d6d688-f542-4d4e-8a9e-50150c7f08e3', '3b77dbae-bca0-4b52-8009-c25492ea2a31', '45a3a270-c470-4d57-8573-48aab220ac7b', '4a23bcc9-2320-4889-b7c3-6c01f4204051', '4d78f831-690a-4cc2-870a-c97f82af1d68', '54c5d63d-1e4b-48ec-9d8b-33b52d274aaa', '5a5dabe5-fd5e-4b5c-a199-3d39e541a052', '7d8b89ee-ec9a-4584-8259-20267d8dc0a6', '892d5d27-8e30-4ab2-b157-3eb1639e2a1d', '89f7c1b8-fd2a-41db-bb13-9bdaf250a746', 'd5fe2cc9-2cda-4b6f-b551-46b9b47b99b5']",Semantic Processing of Natural Language Queries in the OntoNL Framework,international conference on semantic computing,2007,4ab57ebc-8bdf-4f3b-91c8-c20756fce04a
"This study compares a linear keyword language interface and a restricted natural language interface for data retrieval by a novice user. The comparison focuses on the effect of different data base interfaces on user performance as measured by query correctness and query writing time in a query writing task across varying query types and training levels. To accomplish this objective, a laboratory experiment was conducted using a split-plot factorial design using two between-subjects factors and one within-subjects factor. The results indicate that the restricted natural language subjects performed significantly better than the linear keyword language subjects in terms of both query correctness and query writing time.","['Kil Soo Suh', 'A. Milton Jenkins']",33,"['02ceec2a-77e5-4f0b-a0a1-a6869b7d580a', '11aceee0-863e-4bae-81d1-899bc1edaac3', '42ef7bbd-7370-4e33-bfef-776b94137618', '67f8a6d7-34d4-47f5-a9a5-a6be613280e2', '7e219fae-4077-40ed-aaad-218c9eb93009', '9967cd2b-0616-49e6-85f9-21b972d2580d', 'ca43b3c2-8f15-4c01-a5b6-c6a9d0b3277a', 'f48d5699-3965-4b84-a609-569c9f529ad6', 'f5a9c9bf-824a-4290-b5d8-69dac9dc63bb', 'f648858a-a8a7-4371-953c-7c1396748791']",A Comparison of Linear Keyword and Restricted Natural Language Data Base Interfaces for Novice Users,Information Systems Research,1992,4ab59e6c-fa3b-4529-bc39-00da61e0afc4
"Virtual position-based routing protocols have many attractive characteristics for wireless sensor networks. Typically, such protocols use a proactive scheme for updating routing tables. Because sensor networks can have very low data rate, sending periodic beacons to update routing tables can be very expensive. Instead, reactive approaches might be more appropriate in such scenarios. MANET-inspired reactive routing protocols do not scale well because of the effort in the order of O(n) for each routing information update. In this paper, we present Reactive Virtual Cord Protocol (RVCP), a data-centric reactive virtual position based routing protocol for use in sensor networks. Route discovery is directed towards the destination and hence there is no need to flood the entire network to discover a route. Our approach is based on Virtual Cord Protocol (VCP), an efficient, virtual relative position based routing protocol that also provides support for data management as known from typical Distributed Hash Table (DHT) services. To minimize the end-to-end delay and energy consumption, we used adaptive techniques for the development of RVCP.","['Abdalkarim Awad', 'Andreas Mitschele-Thiel', 'Falko Dressler']",1,"['0d4d0363-07b5-43b6-976d-955e96044709', '29424b9c-c448-4679-8472-044e701a11ea', '2f4e35f1-6dca-46f6-8157-980564a94da0', '3382adea-17b5-4515-a0a7-043f78493e0e', '5bbcc50b-0f4b-4c51-8487-0630f8400f61', '60fb0dc2-bde3-4714-948e-de0ed12ab460', '6288f6da-12ac-4f71-b3dd-37fe580b6793', '6bb012bc-9e9e-4b8d-8098-9b972e612593', '7bd442a1-fb27-4e38-8635-d4c0367f3e2d', '7d42815c-daac-4c27-a9a3-39bd29536fed', '7f9d2a8a-12d1-4944-8c82-99eade0d7442', '8ee59530-fc2a-4b2f-92d0-c241e654f52c', 'ada4eba5-6923-4b92-bf17-9fd360a90b14', 'd381281a-14a0-4d73-993f-723a06096a09', 'e52fc0f5-b2e0-4ecc-a145-3e4e20178da8']",Reactive Virtual Position-Based Routing in Wireless Sensor Networks,international conference on computer communications and networks,2011,4ab5d145-0ea8-49b5-b517-93677e7cbe88
